Country,Coffee type,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_domestic_consumption
Honduras,Arabica,11289240,15426000,14400000,13800000,15180000,9660000,10075440,9660000,8280000,10080000,13800000,12000000,12000000,12000000,13800000,13800000,13800000,14700000,16099980,18400020,20100000,20400000,20700000,21000000,21300000,21900000,22200000,22500000,22500000,21000000,471850680
India,Robusta/Arabica,54180000,55000020,55020000,49999980,50100000,50220000,50280000,50340000,54000000,55500000,58500000,64020000,67980000,70020000,72120000,74280000,76500000,81000000,76500000,79500000,79500000,79500000,82500000,84000000,85800000,87000000,86400000,88200000,88500000,87000000,2093460000
Jamaica,Arabica,420000,660000,360000,576000,900000,900000,1080000,1200000,888000,660000,724020,600000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,18688020
Kenya,Arabica,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3300000,3300000,3600000,3600000,3900000,4200000,4290000,95190000
Lao People's Democratic Republic,Robusta,0,0,0,0,0,0,0,0,0,0,0,0,9480000,6180000,8100000,8400000,8400000,8400000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9300000,9300000,9420000,157980000
Liberia,Robusta,180000,180000,180000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,8640000
Mexico,Arabica/Robusta,82440000,72000000,78000000,64200000,61200000,70740000,74100000,72060000,66480000,69000000,78300000,90000000,90000000,90000000,90000000,103500000,120000000,132000000,132000000,132000000,141240000,141240000,141240000,139260000,140820000,139740000,141600000,144000000,147000000,145500000,3189660000
Nepal,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Arabica,2040000,8280000,3936000,6534000,5376000,6690000,5722200,7380000,7590000,7818000,10495800,10639380,10777440,10914900,11056680,11203140,11351100,11498700,11648820,11797320,12164700,12315660,12471840,12573660,12704520,12836760,13003680,13080000,13200000,12600000,299700300
Nigeria,Robusta,1650000,2145000,2145000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,70740000
Panama,Arabica,3780000,4020000,4020000,4020000,4600020,4600020,4600020,4836900,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,122916960
Sierra Leone,Robusta,540000,540000,540000,300000,300000,480000,480000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,10080000
Sri Lanka,Robusta/Arabica,4000020,4020000,1680000,1200000,1200000,1200000,1200000,1200000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,58300020
Thailand,Robusta/Arabica,11280000,13200000,13980000,15000000,16980000,25020000,19980000,23400000,25980000,25980000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,33000000,36000000,42000000,46500000,66000000,67800000,72000000,75000000,78000000,81000000,82500000,84000000,84000000,1248600000
Togo,Robusta,60000,60000,60000,60000,60000,60000,60000,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,12600,14520,14280,11700,13200,15240,15240,15240,15600,2167620
Trinidad & Tobago,Robusta,480000,690000,600000,600000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,660000,660000,660000,660000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,21090000
Uganda,Robusta/Arabica,4200000,4500000,4500000,4500000,4800000,4800000,4800000,6071400,6960000,7140000,8520000,8460000,8400000,7860000,8400000,9000000,10500000,10815000,11100000,11322000,12240000,12600000,12960000,13248000,13752000,14040000,14400000,14688000,15000000,15240000,284816400
Venezuela,Arabica,46943400,48928800,50998200,53155800,55404000,57747600,60190800,62736599,65390400,68156400,71039400,74044200,77176200,80440800,83843400,87390000,91086600,94939800,98955600,99000000,99000000,99000000,99000000,99000000,99000000,99000000,99000000,96000000,93000000,76500000,2386067999
Viet Nam,Robusta/Arabica,9000000,13800000,15000000,16020000,16020000,16910700,17850960,18843480,19891140,21000000,24097500,27651900,31130520,36410760,41781360,48000000,55020000,56280000,61260000,72480000,94980000,99000000,109500000,120000000,132000000,138000000,144000000,150000000,156000000,159000000,1920928320
Yemen,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,8760000,8160000,8280000,8280000,7800000,7800000,7800000,7800000,7800000,7800000,7800000,7500000,6900000,6000000,5400000,3900000,3840000,121620000
