Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_re_export
   Poland,6000000,420000,8220000,7560000,6000000,8040000,10140000,17220000,19680000,25080000,31860000,29820000,26520000,25320000,24360000,31440000,39660000,42540000,46740000,69660000,67380000,82200000,96420000,96900000,124740000,134760000,111120000,105480000,113340000,117120000,1525740000
   Portugal,1860000,2040000,2400000,2280000,3120000,4440000,5940000,6480000,5760000,5940000,7380000,6960000,6840000,6600000,4980000,6420000,6840000,9120000,8940000,9960000,11820000,12600000,13680000,12720000,13620000,13920000,15720000,15000000,16020000,17340000,256740000
   Romania,0,0,180000,360000,0,120000,0,60000,660000,300000,60000,60000,60000,0,600000,1020000,1140000,960000,1140000,2220000,2580000,2520000,3240000,4800000,2760000,1800000,3660000,3060000,3240000,3420000,40020000
   Slovakia,0,0,0,780000,1380000,1620000,960000,1080000,1020000,1200000,1380000,1980000,1500000,1020000,900000,840000,3960000,9120000,16200000,14760000,19080000,23340000,34260000,28200000,25260000,38580000,40800000,34260000,36720000,32820000,373020000
   Slovenia,0,0,420000,300000,420000,480000,660000,600000,720000,660000,840000,660000,720000,600000,660000,540000,660000,600000,660000,720000,780000,900000,2160000,4440000,4860000,5040000,7800000,12720000,19920000,24900000,94440000
   Spain,15900000,16080000,17220000,10080000,14220000,23820000,35700000,46740000,42000000,38340000,45180000,74220000,69960000,81900000,86220000,87180000,87660000,91200000,86460000,86700000,108180000,100320000,99540000,98160000,114360000,114480000,127500000,136500000,155100000,166560000,2277480000
   Sweden,4620000,6840000,8280000,8280000,13440000,13020000,13500000,13920000,11520000,10560000,10260000,10860000,14340000,15420000,15720000,31380000,30300000,31500000,31920000,31560000,30300000,31320000,31200000,32040000,32820000,29880000,33120000,34860000,34740000,34740000,652260000
Japan,1200000,2040000,1620000,2040000,1620000,420000,360000,1140000,540000,480000,1920000,4680000,5940000,8220000,5220000,3780000,2820000,5220000,10740000,7560000,8580000,4800000,4260000,5520000,6660000,7020000,6660000,6780000,7440000,9480000,134760000
Norway,480000,240000,180000,180000,360000,300000,420000,540000,240000,300000,300000,360000,360000,480000,420000,600000,600000,480000,420000,540000,840000,600000,720000,1080000,840000,720000,1080000,1140000,540000,900000,16260000
Russian Federation,0,0,300000,0,840000,4680000,3900000,19680000,5100000,960000,1620000,1500000,3180000,5580000,7740000,9060000,14640000,20400000,25260000,26400000,27300000,27780000,28740000,45720000,43560000,51840000,47640000,57360000,63240000,65820000,609840000
Switzerland,9960000,9060000,9300000,9960000,11760000,10500000,14580000,16800000,15240000,18120000,18780000,22860000,26520000,25380000,30720000,34020000,37260000,50520000,52980000,63960000,78780000,84840000,85500000,92820000,96960000,98460000,104880000,111660000,116760000,126840000,1485780000
Tunisia,0,0,0,0,0,0,0,0,0,0,60000,60000,60000,180000,60000,0,540000,0,0,0,180000,780000,1080000,600000,0,60000,0,0,0,0,3660000
United Kingdom,28920000,29100000,34200000,37740000,49020000,37980000,33120000,30660000,32220000,38700000,39120000,46260000,46680000,45540000,50280000,53100000,56940000,59340000,54000000,53520000,71580000,75840000,72000000,82800000,83400000,78120000,94080000,99720000,113340000,106800000,1734120000
United States of America,49500000,60600000,82620000,103200000,154320000,110460000,122940000,146760000,146820000,130080000,123300000,123360000,131520000,167880000,157560000,147120000,163260000,162420000,171660000,168120000,191460000,223680000,203040000,194880000,201660000,177480000,190500000,175800000,174120000,170520000,4526640000
