Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_export
Ghana,660000,960000,1920000,2820000,660000,2280000,240000,1800000,1080000,5640000,5460000,3420000,1500000,1500000,1320000,1080000,540000,1320000,2160000,1440000,420000,4320000,1800000,1380000,1560000,2400000,1620000,1020000,720000,600000,53640000
Guatemala,194400000,169920000,199680000,225060000,196440000,222060000,238740000,254640000,212520000,280860000,291120000,246600000,209460000,229260000,198600000,207960000,198720000,223560000,226680000,209580000,208080000,221820000,225000000,214500000,182580000,177660000,179460000,202980000,199620000,216780000,6464340000
Guinea,7320000,3660000,3480000,900000,3000000,9120000,1920000,6840000,13680000,18060000,17520000,21360000,8160000,21300000,17760000,16740000,31140000,26160000,12480000,26340000,24360000,23100000,22620000,8040000,1440000,9120000,15000000,12960000,9420000,4140000,397140000
Guyana,0,0,60000,0,0,0,0,0,0,60000,60000,60000,60000,60000,60000,60000,120000,120000,120000,60000,60000,60000,120000,60000,780000,120000,120000,60000,60000,60000,2400000
Haiti,11460000,9060000,9960000,9540000,6180000,9120000,9360000,6060000,7620000,4320000,4380000,5220000,2460000,2220000,1920000,1500000,1440000,1260000,1020000,960000,540000,540000,660000,480000,180000,180000,60000,120000,120000,120000,108060000
Honduras,104100000,86640000,117600000,102300000,103080000,107760000,123600000,103320000,139740000,119220000,172740000,143520000,162660000,145500000,166740000,143520000,173880000,198720000,195540000,185040000,200940000,236820000,330480000,251100000,255120000,301800000,318360000,440460000,428640000,405900000,5964840000
India,118740000,103620000,108960000,126120000,149760000,148020000,186180000,158400000,209220000,217320000,253740000,223800000,213000000,222420000,218820000,169740000,214680000,199140000,202620000,180420000,278820000,324840000,302640000,301980000,307860000,315720000,365160000,392520000,358020000,361680000,6933960000
Indonesia,414180000,370260000,276240000,339720000,276300000,236820000,386400000,345300000,335880000,306900000,321480000,314580000,257160000,287700000,327360000,404640000,316800000,248940000,344460000,474420000,329340000,235200000,492360000,555300000,370500000,502740000,392700000,491880000,272340000,380040000,10607940000
Jamaica,900000,1020000,1320000,1440000,960000,1560000,1620000,1800000,1020000,1440000,1740000,1680000,1560000,1500000,1740000,900000,1500000,1380000,1260000,1500000,900000,960000,900000,900000,600000,720000,660000,600000,600000,540000,35220000
Kenya,118140000,93480000,83040000,86340000,81480000,87000000,114120000,69540000,50460000,66840000,79680000,65760000,44160000,55200000,45240000,40380000,35820000,49020000,36480000,31500000,31860000,36540000,48180000,48900000,47940000,42720000,43620000,42600000,45180000,50160000,1771380000
Lao People's Democratic Republic,5880000,5880000,6120000,8520000,9180000,9900000,8640000,6600000,6720000,11460000,15300000,11880000,16680000,13980000,16020000,14220000,7200000,15120000,15480000,15840000,17280000,25260000,21600000,24000000,22200000,24180000,23160000,23160000,21660000,34500000,457620000
Liberia,1320000,0,0,0,0,0,0,0,180000,900000,240000,420000,360000,420000,0,60000,0,120000,120000,540000,420000,480000,180000,240000,60000,240000,180000,660000,480000,60000,7680000
Madagascar,51780000,35280000,44160000,37680000,26160000,35100000,43080000,28800000,47760000,27840000,12960000,5220000,8700000,7140000,7620000,5760000,10740000,5940000,11760000,2400000,4440000,8640000,4740000,9960000,8280000,3540000,4560000,3480000,360000,240000,504120000
Malawi,7440000,6000000,7680000,6240000,4680000,5520000,3600000,3600000,3540000,3240000,3660000,3840000,2640000,2940000,1560000,1260000,1020000,1140000,1260000,1080000,480000,1560000,1200000,1740000,1560000,1080000,1320000,780000,720000,960000,83340000
Mexico,220980000,211860000,199920000,195840000,167340000,217560000,277980000,270120000,203940000,261480000,318240000,199980000,158700000,155760000,141720000,119100000,154200000,174720000,146880000,170280000,149880000,174420000,213360000,187920000,148800000,147480000,133980000,174660000,173280000,157620000,5628000000
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,60000,60000,60000,120000,60000,120000,60000,240000,60000,60000,60000,120000,120000,60000,120000,60000,1560000
Nicaragua,40260000,23520000,38160000,28560000,37440000,40860000,49320000,42840000,56460000,59040000,82020000,81900000,57300000,60780000,78660000,60180000,86700000,75540000,97500000,82440000,102720000,88080000,119220000,99660000,114060000,105180000,117780000,146940000,138000000,177240000,2388360000
Nigeria,240000,60000,660000,600000,480000,900000,420000,420000,600000,540000,420000,420000,300000,540000,360000,480000,1680000,540000,120000,60000,180000,420000,120000,60000,60000,180000,60000,180000,180000,120000,11400000
Panama,7920000,7440000,7500000,7740000,4560000,10860000,8340000,7440000,8700000,7080000,4320000,3420000,4980000,5160000,5940000,5400000,6420000,6540000,6840000,3540000,3900000,3180000,3060000,2940000,3060000,3000000,3360000,3000000,2820000,3060000,161520000
Papua New Guinea,63060000,47280000,55020000,63300000,69420000,60120000,65400000,62580000,80940000,79200000,62580000,65700000,63420000,68820000,62880000,72000000,50940000,54540000,65760000,61620000,55740000,73500000,55500000,48660000,48420000,42660000,67980000,47640000,52200000,47220000,1814100000
Paraguay,15780000,7200000,2400000,3480000,2880000,1260000,960000,2100000,1140000,180000,300000,60000,1260000,1860000,1020000,1440000,1500000,1860000,60000,0,0,0,0,0,0,0,0,0,0,0,46740000
Peru,66300000,62520000,63660000,46500000,63420000,105600000,100740000,98880000,116940000,144420000,141720000,159780000,167340000,150180000,191040000,142140000,232860000,172740000,223980000,184440000,229020000,281820000,258600000,224160000,163200000,167400000,237600000,236760000,243840000,226320000,4903920000
Philippines,10080000,6180000,2460000,2100000,7560000,3420000,1620000,1860000,1260000,540000,300000,180000,420000,720000,1740000,2040000,2280000,1920000,240000,420000,360000,600000,180000,360000,720000,900000,780000,540000,240000,420000,52440000
Rwanda,46740000,28440000,38700000,28860000,1800000,18840000,15900000,13080000,12840000,18840000,16200000,16740000,19800000,14700000,27000000,14160000,23340000,15360000,19560000,18240000,17760000,16620000,15060000,15240000,15360000,15780000,14640000,14760000,21000000,23340000,578700000
Sierra Leone,8400000,6240000,2820000,2460000,3720000,4260000,1740000,2820000,2520000,1380000,2400000,2160000,4800000,2040000,1380000,1200000,3060000,3060000,1560000,6240000,3480000,2220000,3900000,3420000,1440000,3240000,1560000,2100000,1620000,2820000,90060000
Sri Lanka,1140000,1320000,900000,840000,2820000,1320000,720000,1260000,1620000,1020000,120000,240000,180000,360000,420000,180000,420000,240000,120000,60000,120000,120000,0,0,120000,0,60000,120000,120000,60000,16020000
Tanzania,61140000,52260000,49680000,62220000,37920000,44700000,58200000,39300000,44520000,38580000,44400000,51960000,29760000,52980000,33180000,42720000,43920000,48420000,49080000,69420000,33360000,47880000,45360000,56100000,43080000,42540000,54300000,39840000,51360000,64140000,1432320000
Thailand,60060000,32460000,69840000,58920000,68160000,72600000,52380000,63960000,46680000,29580000,58200000,68880000,15180000,10860000,25200000,22500000,32400000,21900000,10500000,11100000,22200000,14580000,21000000,2940000,1620000,34680000,7860000,8460000,15480000,10440000,970620000
Timor-Leste,0,0,0,0,0,0,0,0,0,0,60000,1920000,1800000,2760000,1320000,1080000,2940000,1860000,3000000,2580000,4080000,2340000,3360000,4200000,6660000,4080000,4080000,5160000,7740000,7020000,68040000
Togo,14340000,9300000,18780000,13080000,9960000,12000000,5100000,18780000,9960000,19260000,16980000,11580000,6000000,4320000,8940000,9840000,7080000,9300000,7260000,9120000,11880000,9300000,8820000,5460000,8040000,10680000,4500000,1620000,6660000,3480000,291420000
Trinidad & Tobago,1800000,480000,120000,600000,300000,240000,240000,240000,300000,180000,180000,180000,120000,120000,120000,60000,60000,60000,60000,0,60000,0,60000,120000,120000,120000,120000,120000,180000,120000,6480000
Uganda,141180000,125700000,117660000,109740000,202140000,184740000,279300000,210120000,197160000,230460000,150780000,183600000,201480000,151320000,157620000,142140000,130380000,161580000,198660000,180840000,159420000,188520000,161100000,220320000,206520000,215760000,212580000,286440000,253380000,271560000,5632200000
Venezuela,16680000,7680000,8160000,31500000,23160000,5820000,29700000,6300000,16080000,27840000,2280000,1560000,11520000,15600000,10200000,1320000,3900000,4200000,7500000,1080000,1140000,0,120000,360000,0,60000,0,0,4320000,3180000,241260000
Viet Nam,68700000,72060000,116280000,124320000,163260000,212760000,226740000,370680000,388020000,463620000,697080000,846360000,706260000,697860000,891540000,805920000,834300000,1076160000,966060000,1023120000,853740000,1063020000,1375200000,1183080000,1565820000,1316640000,1783260000,1505520000,1883100000,1644000000,24924480000
Yemen,3000000,4320000,2220000,3060000,5580000,4620000,2520000,4800000,4260000,4080000,3480000,3960000,3660000,3300000,2700000,4680000,3660000,4320000,4020000,2340000,2640000,2100000,3780000,3300000,3420000,3120000,2280000,2760000,2520000,720000,101220000
Zambia,1440000,1740000,1860000,1380000,1440000,1260000,2160000,2340000,1980000,3060000,3900000,6900000,5940000,7800000,6240000,6360000,4680000,3240000,2880000,1980000,1080000,540000,420000,600000,300000,180000,600000,780000,1560000,1620000,76260000
Zimbabwe,15060000,14340000,9720000,4200000,1920000,9420000,9000000,6540000,9180000,7860000,7020000,6300000,7140000,5820000,6780000,4260000,3240000,1920000,1380000,1080000,420000,300000,240000,120000,660000,660000,720000,120000,300000,360000,136080000
